"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"26/07/2023","6,12","6,15","0,65","6,04","6,22","12,10M"
"25/07/2023","6,13","6,11","-0,65","6,11","6,29","15,51M"
"24/07/2023","6,20","6,15","-2,23","6,09","6,28","11,58M"
"21/07/2023","6,04","6,29","3,28","6,04","6,29","16,99M"
"20/07/2023","6,00","6,09","1,00","5,91","6,18","17,38M"
"19/07/2023","6,10","6,03","-1,15","6,03","6,14","12,00M"
"18/07/2023","6,21","6,10","-2,24","6,05","6,32","17,38M"
"17/07/2023","6,17","6,24","1,13","6,15","6,38","9,03M"
"14/07/2023","6,52","6,17","-5,51","6,13","6,60","17,38M"
"13/07/2023","6,28","6,53","3,98","6,28","6,60","16,55M"
"12/07/2023","6,36","6,28","-0,79","6,28","6,38","5,31M"
"11/07/2023","6,34","6,33","-1,09","6,27","6,40","8,58M"
"10/07/2023","6,27","6,40","2,07","6,26","6,40","7,06M"
"07/07/2023","6,31","6,27","-0,63","6,24","6,39","4,95M"
"06/07/2023","6,40","6,31","-1,41","6,19","6,41","11,26M"
"05/07/2023","6,38","6,40","0,00","6,27","6,42","8,64M"
"04/07/2023","6,30","6,40","1,43","6,30","6,41","1,89M"
"03/07/2023","6,36","6,31","-0,63","6,23","6,39","16,43M"
"30/06/2023","6,30","6,35","1,93","6,25","6,39","29,08M"
"29/06/2023","6,27","6,23","-0,80","6,20","6,39","36,80M"
"28/06/2023","6,10","6,28","2,28","6,10","6,42","51,22M"
"27/06/2023","5,74","6,14","6,78","5,73","6,14","68,52M"
"26/06/2023","5,95","5,75","-3,52","5,68","5,99","37,74M"
"23/06/2023","5,89","5,96","0,68","5,80","6,11","45,93M"
"22/06/2023","6,01","5,92","-2,15","5,91","6,11","38,21M"
"21/06/2023","6,14","6,05","-1,63","5,97","6,22","37,72M"
"20/06/2023","6,08","6,15","0,00","5,98","6,18","28,52M"
"19/06/2023","5,97","6,15","3,02","5,93","6,22","7,64M"
"16/06/2023","5,94","5,97","0,34","5,93","6,05","36,59M"
"15/06/2023","5,84","5,95","1,36","5,77","5,98","47,32M"
"14/06/2023","6,01","5,87","-3,14","5,80","6,04","38,17M"
"13/06/2023","6,13","6,06","-1,14","5,92","6,18","31,83M"
"12/06/2023","6,06","6,13","1,49","6,05","6,23","23,68M"
"09/06/2023","6,00","6,04","0,83","5,87","6,12","53,00M"
"07/06/2023","5,79","5,99","3,99","5,76","6,12","51,48M"
"06/06/2023","5,59","5,76","2,13","5,58","5,80","30,67M"
"05/06/2023","5,66","5,64","-0,35","5,50","5,70","11,29M"
"02/06/2023","5,65","5,66","0,53","5,61","5,75","42,68M"
"01/06/2023","5,65","5,63","-1,23","5,52","5,71","23,43M"
"31/05/2023","5,58","5,70","0,71","5,53","5,71","23,52M"
"30/05/2023","5,69","5,66","0,18","5,62","5,79","16,33M"
